,text,CaseFolding,TextClean,Tokenizing,Normalization,Stopwords
135,Hi kak @dhiy.zip mohon ditunggu ya kak,hi kak @dhiy.zip mohon ditunggu ya kak,hi kak mohon ditunggu ya kak,"['hi', 'kak', 'mohon', 'ditunggu', 'ya', 'kak']","['hi', 'kakak', 'mohon', 'ditunggu', 'ya', 'kakak']","['hi', 'kakak', 'mohon', 'ditunggu', 'kakak']"
136,"@atanasius_ hi kak, mohon ditunggu yaa","@atanasius_ hi kak, mohon ditunggu yaa",hi kak mohon ditunggu yaa,"['hi', 'kak', 'mohon', 'ditunggu', 'yaa']","['hi', 'kakak', 'mohon', 'ditunggu', 'iya']","['hi', 'kakak', 'mohon', 'ditunggu', 'iya']"
137,"@rafaunais Hi kak, mohon ditunggu informasi kami selanjutnya ya","@rafaunais hi kak, mohon ditunggu informasi kami selanjutnya ya",hi kak mohon ditunggu informasi kami selanjutnya ya,"['hi', 'kak', 'mohon', 'ditunggu', 'informasi', 'kami', 'selanjutnya', 'ya']","['hi', 'kakak', 'mohon', 'ditunggu', 'informasi', 'kami', 'selanjutnya', 'ya']","['hi', 'kakak', 'mohon', 'ditunggu', 'informasi']"
138,"@rafaunais hi kak, smua sama kak persyaratannya. Karena nanti akan digunakan jg utk mendukung kelancaran waktu sertifikasi internasional 🙏","@rafaunais hi kak, smua sama kak persyaratannya. karena nanti akan digunakan jg utk mendukung kelancaran waktu sertifikasi internasional 🙏",hi kak smua sama kak persyaratannya karena nanti akan digunakan jg utk mendukung kelancaran waktu sertifikasi internasional,"['hi', 'kak', 'smua', 'sama', 'kak', 'persyaratannya', 'karena', 'nanti', 'akan', 'digunakan', 'jg', 'utk', 'mendukung', 'kelancaran', 'waktu', 'sertifikasi', 'internasional']","['hi', 'kakak', 'semua', 'sama', 'kakak', 'persyaratannya', 'karena', 'nanti', 'akan', 'digunakan', 'juga', 'utk', 'mendukung', 'kelancaran', 'waktu', 'sertifikasi', 'internasional']","['hi', 'kakak', 'kakak', 'persyaratannya', 'mendukung', 'kelancaran', 'sertifikasi', 'internasional']"
139,@maribelajar_id Baik terimakasih infonya ka,@maribelajar_id baik terimakasih infonya ka,baik terimakasih infonya ka,"['baik', 'terimakasih', 'infonya', 'ka']","['baik', 'terimakasih', 'infonya', 'kakak']","['terimakasih', 'infonya', 'kakak']"
140,"@sitirosyadahnurlia Hi kak, benar akan kami kirimkan via email, shg mohon secara memeriksa emaik abik di inbox atau spam. Terima kasih","@sitirosyadahnurlia hi kak, benar akan kami kirimkan via email, shg mohon secara memeriksa emaik abik di inbox atau spam. terima kasih",hi kak benar akan kami kirimkan via email shg mohon secara memeriksa emaik abik di inbox atau spam terima kasih,"['hi', 'kak', 'benar', 'akan', 'kami', 'kirimkan', 'via', 'email', 'shg', 'mohon', 'secara', 'memeriksa', 'emaik', 'abik', 'di', 'inbox', 'atau', 'spam', 'terima', 'kasih']","['hi', 'kakak', 'benar', 'akan', 'kami', 'kirimkan', 'via', 'email', 'shg', 'mohon', 'secara', 'memeriksa', 'emaik', 'abik', 'di', 'inbox', 'atau', 'spam', 'terima', 'kasih']","['hi', 'kakak', 'kirimkan', 'via', 'email', 'shg', 'mohon', 'memeriksa', 'emaik', 'abik', 'inbox', 'spam', 'terima', 'kasih']"
141,@maribelajar_id baik kak.. terimakasih kembali atas informasinya 🙏,@maribelajar_id baik kak.. terimakasih kembali atas informasinya 🙏,baik kak terimakasih kembali atas informasinya,"['baik', 'kak', 'terimakasih', 'kembali', 'atas', 'informasinya']","['baik', 'kakak', 'terimakasih', 'kembali', 'atas', 'informasinya']","['kakak', 'terimakasih', 'informasinya']"
142,"Halo kak @maribelajar_id izin bertanya kembali, saya mendaftar di 2 posisi sebelumnya dan saya mendapatkan 2 email pretest,  kemudian saya mengisi dua-duanya akan tetapi ternyata link pretesnya masih sama. Apakah tidak apa-apa kak?🙏","halo kak @maribelajar_id izin bertanya kembali, saya mendaftar di 2 posisi sebelumnya dan saya mendapatkan 2 email pretest,  kemudian saya mengisi dua-duanya akan tetapi ternyata link pretesnya masih sama. apakah tidak apa-apa kak?🙏",halo kak izin bertanya kembali saya mendaftar di posisi sebelumnya dan saya mendapatkan email pretest kemudian saya mengisi duaduanya akan tetapi ternyata link pretesnya masih sama apakah tidak apaapa kak,"['halo', 'kak', 'izin', 'bertanya', 'kembali', 'saya', 'mendaftar', 'di', 'posisi', 'sebelumnya', 'dan', 'saya', 'mendapatkan', 'email', 'pretest', 'kemudian', 'saya', 'mengisi', 'duaduanya', 'akan', 'tetapi', 'ternyata', 'link', 'pretesnya', 'masih', 'sama', 'apakah', 'tidak', 'apaapa', 'kak']","['halo', 'kakak', 'izin', 'bertanya', 'kembali', 'saya', 'mendaftar', 'di', 'posisi', 'sebelumnya', 'dan', 'saya', 'mendapatkan', 'email', 'pretest', 'kemudian', 'saya', 'mengisi', 'duaduanya', 'akan', 'tetapi', 'ternyata', 'link', 'pretesnya', 'masih', 'sama', 'apakah', 'tidak', 'apaapa', 'kakak']","['halo', 'kakak', 'izin', 'mendaftar', 'posisi', 'email', 'pretest', 'mengisi', 'duaduanya', 'link', 'pretesnya', 'apaapa', 'kakak']"
143,"Izin bertanya admin, saya dpt email pretest 2x dengan posisi yg sama, apakah harus dikerjakan 22nya atau hanya salah satunya?","izin bertanya admin, saya dpt email pretest 2x dengan posisi yg sama, apakah harus dikerjakan 22nya atau hanya salah satunya?",izin bertanya admin saya dpt email pretest  dengan posisi yg sama apakah harus dikerjakan nya atau hanya salah satunya,"['izin', 'bertanya', 'admin', 'saya', 'dpt', 'email', 'pretest', 'dengan', 'posisi', 'yg', 'sama', 'apakah', 'harus', 'dikerjakan', 'nya', 'atau', 'hanya', 'salah', 'satunya']","['izin', 'bertanya', 'admin', 'saya', 'dapat', 'email', 'pretest', 'dengan', 'posisi', 'yang', 'sama', 'apakah', 'harus', 'dikerjakan', 'nya', 'atau', 'hanya', 'salah', 'satunya']","['izin', 'admin', 'email', 'pretest', 'posisi', 'salah', 'satunya']"
144,mac osx monterey aman ya kak ikut ini?,mac osx monterey aman ya kak ikut ini?,mac osx monterey aman ya kak ikut ini,"['mac', 'osx', 'monterey', 'aman', 'ya', 'kak', 'ikut', 'ini']","['mac', 'osx', 'monterey', 'aman', 'ya', 'kakak', 'ikut', 'ini']","['mac', 'osx', 'monterey', 'aman', 'kakak']"
145,@ariahmadsobarudin sama saya juga dapat email 2x mohon pencerahannya min @maribelajar_id,@ariahmadsobarudin sama saya juga dapat email 2x mohon pencerahannya min @maribelajar_id,sama saya juga dapat email  mohon pencerahannya min,"['sama', 'saya', 'juga', 'dapat', 'email', 'mohon', 'pencerahannya', 'min']","['sama', 'saya', 'juga', 'dapat', 'email', 'mohon', 'pencerahannya', 'min']","['email', 'mohon', 'pencerahannya', 'min']"
146,"@eeca.aa hi kak cukul sekali saja jika memang posisi yang dilamar hanya 1, jika lebih dari satu maka silakan dikerjakan sesuai jalur pembelajaran yg dilamar. Terima kasih","@eeca.aa hi kak cukul sekali saja jika memang posisi yang dilamar hanya 1, jika lebih dari satu maka silakan dikerjakan sesuai jalur pembelajaran yg dilamar. terima kasih",hi kak cukul sekali saja jika memang posisi yang dilamar hanya jika lebih dari satu maka silakan dikerjakan sesuai jalur pembelajaran yg dilamar terima kasih,"['hi', 'kak', 'cukul', 'sekali', 'saja', 'jika', 'memang', 'posisi', 'yang', 'dilamar', 'hanya', 'jika', 'lebih', 'dari', 'satu', 'maka', 'silakan', 'dikerjakan', 'sesuai', 'jalur', 'pembelajaran', 'yg', 'dilamar', 'terima', 'kasih']","['hi', 'kakak', 'cukul', 'sekali', 'saja', 'jika', 'memang', 'posisi', 'yang', 'dilamar', 'hanya', 'jika', 'lebih', 'dari', 'satu', 'maka', 'silakan', 'dikerjakan', 'sesuai', 'jalur', 'pembelajaran', 'yang', 'dilamar', 'terima', 'kasih']","['hi', 'kakak', 'cukul', 'posisi', 'dilamar', 'silakan', 'sesuai', 'jalur', 'pembelajaran', 'dilamar', 'terima', 'kasih']"
147,"@maribelajar_id baik min, berarti itu dikirim dua kali bukan karena pengerjaan saya yang pertama bermasalah ya min","@maribelajar_id baik min, berarti itu dikirim dua kali bukan karena pengerjaan saya yang pertama bermasalah ya min",baik min berarti itu dikirim dua kali bukan karena pengerjaan saya yang pertama bermasalah ya min,"['baik', 'min', 'berarti', 'itu', 'dikirim', 'dua', 'kali', 'bukan', 'karena', 'pengerjaan', 'saya', 'yang', 'pertama', 'bermasalah', 'ya', 'min']","['baik', 'min', 'berarti', 'itu', 'dikirim', 'dua', 'sepertinya', 'bukan', 'karena', 'pengerjaan', 'saya', 'yang', 'pertama', 'bermasalah', 'ya', 'min']","['min', 'dikirim', 'pengerjaan', 'bermasalah', 'min']"
148,@eeca.aa benar kak,@eeca.aa benar kak,benar kak,"['benar', 'kak']","['benar', 'kakak']",['kakak']
149,"izin bertanya min, saya sudah daftar tp sampai sekarang masih tidak ada email untuk test atau apa pun itu, sedangkan sudah mau survei kebhinekaan?","izin bertanya min, saya sudah daftar tp sampai sekarang masih tidak ada email untuk test atau apa pun itu, sedangkan sudah mau survei kebhinekaan?",izin bertanya min saya sudah daftar tp sampai sekarang masih tidak ada email untuk test atau apa pun itu sedangkan sudah mau survei kebhinekaan,"['izin', 'bertanya', 'min', 'saya', 'sudah', 'daftar', 'tp', 'sampai', 'sekarang', 'masih', 'tidak', 'ada', 'email', 'untuk', 'test', 'atau', 'apa', 'pun', 'itu', 'sedangkan', 'sudah', 'mau', 'survei', 'kebhinekaan']","['izin', 'bertanya', 'min', 'saya', 'sudah', 'daftar', 'tapi', 'sampai', 'sekarang', 'masih', 'tidak', 'ada', 'email', 'untuk', 'test', 'atau', 'apa', 'pun', 'itu', 'sedangkan', 'sudah', 'mau', 'survei', 'kebhinekaan']","['izin', 'min', 'daftar', 'email', 'test', 'survei', 'kebhinekaan']"
150,"@aleisya01 hi dear jika berkas sptjm/sr mu sesuai maka pre-test sudah kami kirimkan pertanggal 30 Januari kemarin, mohon pastikan memeriksa folder spam atau promosi juga. Terima kasih","@aleisya01 hi dear jika berkas sptjm/sr mu sesuai maka pre-test sudah kami kirimkan pertanggal 30 januari kemarin, mohon pastikan memeriksa folder spam atau promosi juga. terima kasih",hi dear jika berkas sptjmsr mu sesuai maka pretest sudah kami kirimkan pertanggal januari kemarin mohon pastikan memeriksa folder spam atau promosi juga terima kasih,"['hi', 'dear', 'jika', 'berkas', 'sptjmsr', 'mu', 'sesuai', 'maka', 'pretest', 'sudah', 'kami', 'kirimkan', 'pertanggal', 'januari', 'kemarin', 'mohon', 'pastikan', 'memeriksa', 'folder', 'spam', 'atau', 'promosi', 'juga', 'terima', 'kasih']","['hi', 'dear', 'jika', 'berkas', 'sptjmsr', 'kamu', 'sesuai', 'maka', 'pretest', 'sudah', 'kami', 'kirimkan', 'pertanggal', 'januari', 'kemarin', 'mohon', 'pastikan', 'memeriksa', 'folder', 'spam', 'atau', 'promosi', 'juga', 'terima', 'kasih']","['hi', 'dear', 'berkas', 'sptjmsr', 'sesuai', 'pretest', 'kirimkan', 'pertanggal', 'januari', 'kemarin', 'mohon', 'pastikan', 'memeriksa', 'folder', 'spam', 'promosi', 'terima', 'kasih']"
151,"@maribelajar_id baik terimakasih konfirmasi nya, soalnya saya kurang tahu dan tidak ada email pemberitahuan apapun sdh dicek semua, padahal ikut yg lain ga ada masalah dgn berkas, ya sudah terimakasih 💕","@maribelajar_id baik terimakasih konfirmasi nya, soalnya saya kurang tahu dan tidak ada email pemberitahuan apapun sdh dicek semua, padahal ikut yg lain ga ada masalah dgn berkas, ya sudah terimakasih 💕",baik terimakasih konfirmasi nya soalnya saya kurang tahu dan tidak ada email pemberitahuan apapun sdh dicek semua padahal ikut yg lain ga ada masalah dgn berkas ya sudah terimakasih,"['baik', 'terimakasih', 'konfirmasi', 'nya', 'soalnya', 'saya', 'kurang', 'tahu', 'dan', 'tidak', 'ada', 'email', 'pemberitahuan', 'apapun', 'sdh', 'dicek', 'semua', 'padahal', 'ikut', 'yg', 'lain', 'ga', 'ada', 'masalah', 'dgn', 'berkas', 'ya', 'sudah', 'terimakasih']","['baik', 'terimakasih', 'konfirmasi', 'nya', 'soalnya', 'saya', 'kurang', 'tahu', 'dan', 'tidak', 'ada', 'email', 'pemberitahuan', 'apapun', 'sudah', 'dicek', 'semua', 'padahal', 'ikut', 'yang', 'lain', 'tidak', 'ada', 'masalah', 'dengan', 'berkas', 'ya', 'sudah', 'terimakasih']","['terimakasih', 'konfirmasi', 'email', 'pemberitahuan', 'apapun', 'dicek', 'berkas', 'terimakasih']"
152,"@maribelajar_id Mohon izin bertanya kak, konfirmasi melalui platform itu seperti apa ya kak?","@maribelajar_id mohon izin bertanya kak, konfirmasi melalui platform itu seperti apa ya kak?",mohon izin bertanya kak konfirmasi melalui platform itu seperti apa ya kak,"['mohon', 'izin', 'bertanya', 'kak', 'konfirmasi', 'melalui', 'platform', 'itu', 'seperti', 'apa', 'ya', 'kak']","['mohon', 'izin', 'bertanya', 'kakak', 'konfirmasi', 'melalui', 'platform', 'itu', 'seperti', 'apa', 'ya', 'kakak']","['mohon', 'izin', 'kakak', 'konfirmasi', 'platform', 'kakak']"
153,@maribelajar_id admin tolong baca dm 🙏,@maribelajar_id admin tolong baca dm 🙏,admin tolong baca dm,"['admin', 'tolong', 'baca', 'dm']","['admin', 'tolong', 'baca', 'pesan']","['admin', 'tolong', 'baca', 'pesan']"
154,Dapat uang saku selama program ga min? @maribelajar_id,dapat uang saku selama program ga min? @maribelajar_id,dapat uang saku selama program ga min,"['dapat', 'uang', 'saku', 'selama', 'program', 'ga', 'min']","['dapat', 'uang', 'saku', 'selama', 'program', 'tidak', 'min']","['uang', 'saku', 'program', 'min']"
155,wah keren banget aku jadi pengen daftar lagi deh,wah keren banget aku jadi pengen daftar lagi deh,wah keren banget aku jadi pengen daftar lagi deh,"['wah', 'keren', 'banget', 'aku', 'jadi', 'pengen', 'daftar', 'lagi', 'deh']","['wah', 'keren', 'banget', 'aku', 'jadi', 'ingin', 'daftar', 'lagi', 'deh']","['keren', 'banget', 'daftar', 'deh']"
156,@sndpf_ What Language is it??,@sndpf_ what language is it??,what language is it,"['what', 'language', 'is', 'it']","['what', 'language', 'is', 'it']","['what', 'language', 'is', 'it']"
157,"Hallo Kak, apakah boleh tahap seleksinya apa saja dan jadwal pembelajarannya? 😊","hallo kak, apakah boleh tahap seleksinya apa saja dan jadwal pembelajarannya? 😊",hallo kak apakah boleh tahap seleksinya apa saja dan jadwal pembelajarannya,"['hallo', 'kak', 'apakah', 'boleh', 'tahap', 'seleksinya', 'apa', 'saja', 'dan', 'jadwal', 'pembelajarannya']","['hallo', 'kakak', 'apakah', 'boleh', 'tahap', 'seleksinya', 'apa', 'saja', 'dan', 'jadwal', 'pembelajarannya']","['hallo', 'kakak', 'tahap', 'seleksinya', 'jadwal', 'pembelajarannya']"
158,"Hi kak, utk tahapan seleksinya meliputi seleksi administrasi > dilanjutkan dengan pretest (pengetahuan dasar dan sejumlah pernyataan mengenai softskill and plan for future) > pengumuman. Untuk jadwalnya belum ada kak, namun prinsipnya pelaksanaannya hampir sama persis dg perkuliahan, ada UTS dan UAS, mengingat program ini dapat mnggantikan aktivitas perkuliahan selama satu semester dan dapat dikonversi menjadi 20 sks. Terima kasih","hi kak, utk tahapan seleksinya meliputi seleksi administrasi > dilanjutkan dengan pretest (pengetahuan dasar dan sejumlah pernyataan mengenai softskill and plan for future) > pengumuman. untuk jadwalnya belum ada kak, namun prinsipnya pelaksanaannya hampir sama persis dg perkuliahan, ada uts dan uas, mengingat program ini dapat mnggantikan aktivitas perkuliahan selama satu semester dan dapat dikonversi menjadi 20 sks. terima kasih",hi kak utk tahapan seleksinya meliputi seleksi administrasi dilanjutkan dengan pretest pengetahuan dasar dan sejumlah pernyataan mengenai softskill and plan for future pengumuman untuk jadwalnya belum ada kak namun prinsipnya pelaksanaannya hampir sama persis dg perkuliahan ada uts dan uas mengingat program ini dapat mnggantikan aktivitas perkuliahan selama satu semester dan dapat dikonversi menjadi sks terima kasih,"['hi', 'kak', 'utk', 'tahapan', 'seleksinya', 'meliputi', 'seleksi', 'administrasi', 'dilanjutkan', 'dengan', 'pretest', 'pengetahuan', 'dasar', 'dan', 'sejumlah', 'pernyataan', 'mengenai', 'softskill', 'and', 'plan', 'for', 'future', 'pengumuman', 'untuk', 'jadwalnya', 'belum', 'ada', 'kak', 'namun', 'prinsipnya', 'pelaksanaannya', 'hampir', 'sama', 'persis', 'dg', 'perkuliahan', 'ada', 'uts', 'dan', 'uas', 'mengingat', 'program', 'ini', 'dapat', 'mnggantikan', 'aktivitas', 'perkuliahan', 'selama', 'satu', 'semester', 'dan', 'dapat', 'dikonversi', 'menjadi', 'sks', 'terima', 'kasih']","['hi', 'kakak', 'utk', 'tahapan', 'seleksinya', 'meliputi', 'seleksi', 'administrasi', 'dilanjutkan', 'dengan', 'pretest', 'pengetahuan', 'dasar', 'dan', 'sejumlah', 'pernyataan', 'mengenai', 'softskill', 'and', 'plan', 'for', 'future', 'pengumuman', 'untuk', 'jadwalnya', 'belum', 'ada', 'kakak', 'namun', 'prinsipnya', 'pelaksanaannya', 'hampir', 'sama', 'persis', 'dg', 'perkuliahan', 'ada', 'uts', 'dan', 'uas', 'mengingat', 'program', 'ini', 'dapat', 'mnggantikan', 'aktivitas', 'perkuliahan', 'selama', 'satu', 'semester', 'dan', 'dapat', 'dikonversi', 'menjadi', 'sks', 'terima', 'kasih']","['hi', 'kakak', 'tahapan', 'seleksinya', 'meliputi', 'seleksi', 'administrasi', 'dilanjutkan', 'pretest', 'pengetahuan', 'dasar', 'pernyataan', 'softskill', 'and', 'plan', 'for', 'future', 'pengumuman', 'jadwalnya', 'kakak', 'prinsipnya', 'pelaksanaannya', 'persis', 'perkuliahan', 'uts', 'uas', 'program', 'mnggantikan', 'aktivitas', 'perkuliahan', 'semester', 'dikonversi', 'sks', 'terima', 'kasih']"
159,"Hallo kak, apakah bisa dilakukan sambil kuliah, karna aku mash ada 1 matkul yang wajib diambil :')","hallo kak, apakah bisa dilakukan sambil kuliah, karna aku mash ada 1 matkul yang wajib diambil :')",hallo kak apakah bisa dilakukan sambil kuliah karna aku mash ada matkul yang wajib diambil,"['hallo', 'kak', 'apakah', 'bisa', 'dilakukan', 'sambil', 'kuliah', 'karna', 'aku', 'mash', 'ada', 'matkul', 'yang', 'wajib', 'diambil']","['hallo', 'kakak', 'apakah', 'bisa', 'dilakukan', 'sambil', 'kuliah', 'karena', 'aku', 'masih', 'ada', 'matkul', 'yang', 'wajib', 'diambil']","['hallo', 'kakak', 'kuliah', 'matkul', 'wajib', 'diambil']"
160,"@hunt_std hi dear, apabila masih ada matkul yang wajib di ambil diperbolehkan. Dengan catatan masih ada sks untuk dikonversi 😉","@hunt_std hi dear, apabila masih ada matkul yang wajib di ambil diperbolehkan. dengan catatan masih ada sks untuk dikonversi 😉",hi dear apabila masih ada matkul yang wajib di ambil diperbolehkan dengan catatan masih ada sks untuk dikonversi,"['hi', 'dear', 'apabila', 'masih', 'ada', 'matkul', 'yang', 'wajib', 'di', 'ambil', 'diperbolehkan', 'dengan', 'catatan', 'masih', 'ada', 'sks', 'untuk', 'dikonversi']","['hi', 'dear', 'apabila', 'masih', 'ada', 'matkul', 'yang', 'wajib', 'di', 'ambil', 'diperbolehkan', 'dengan', 'catatan', 'masih', 'ada', 'sks', 'untuk', 'dikonversi']","['hi', 'dear', 'matkul', 'wajib', 'ambil', 'diperbolehkan', 'catatan', 'sks', 'dikonversi']"
161,"@bint_s06 Hi kak, utk pendaftaran dibuka s.d 27 Januari 2023. Saran kami dapat segera mendaftarkan diri agar dapat mengikuti seleksi tahap 1 lebih awal. Terima kasih","@bint_s06 hi kak, utk pendaftaran dibuka s.d 27 januari 2023. saran kami dapat segera mendaftarkan diri agar dapat mengikuti seleksi tahap 1 lebih awal. terima kasih",hi kak utk pendaftaran dibuka sd januari saran kami dapat segera mendaftarkan diri agar dapat mengikuti seleksi tahap lebih awal terima kasih,"['hi', 'kak', 'utk', 'pendaftaran', 'dibuka', 'sd', 'januari', 'saran', 'kami', 'dapat', 'segera', 'mendaftarkan', 'diri', 'agar', 'dapat', 'mengikuti', 'seleksi', 'tahap', 'lebih', 'awal', 'terima', 'kasih']","['hi', 'kakak', 'utk', 'pendaftaran', 'dibuka', 'sd', 'januari', 'saran', 'kami', 'dapat', 'segera', 'mendaftarkan', 'diri', 'agar', 'dapat', 'mengikuti', 'seleksi', 'tahap', 'lebih', 'awal', 'terima', 'kasih']","['hi', 'kakak', 'pendaftaran', 'dibuka', 'sd', 'januari', 'saran', 'mendaftarkan', 'mengikuti', 'seleksi', 'tahap', 'terima', 'kasih']"
162,"Kak, apakah ada perpanjangan pendaftaran?","kak, apakah ada perpanjangan pendaftaran?",kak apakah ada perpanjangan pendaftaran,"['kak', 'apakah', 'ada', 'perpanjangan', 'pendaftaran']","['kakak', 'apakah', 'ada', 'perpanjangan', 'pendaftaran']","['kakak', 'perpanjangan', 'pendaftaran']"
163,Kalau cuma punya certificate AI tapi gak ada Data certificate bisa gak min?,kalau cuma punya certificate ai tapi gak ada data certificate bisa gak min?,kalau cuma punya certificate ai tapi gak ada data certificate bisa gak min,"['kalau', 'cuma', 'punya', 'certificate', 'ai', 'tapi', 'gak', 'ada', 'data', 'certificate', 'bisa', 'gak', 'min']","['kalau', 'cuma', 'punya', 'certificate', 'ai', 'tapi', 'tidak', 'ada', 'data', 'certificate', 'bisa', 'tidak', 'min']","['certificate', 'data', 'certificate', 'min']"
164,Kak buat studi independen batch 4 skrg buka gak ya ?,kak buat studi independen batch 4 skrg buka gak ya ?,kak buat studi independen batch skrg buka gak ya,"['kak', 'buat', 'studi', 'independen', 'batch', 'skrg', 'buka', 'gak', 'ya']","['kakak', 'buat', 'studi', 'independen', 'batch', 'sekarang', 'buka', 'tidak', 'ya']","['kakak', 'studi', 'independen', 'batch', 'buka']"
165,"@swunoei Hi Kak, sudah dibuka kak, silakan daftarkan diri melalui tautan https://go.maribelajar.org/msib. terima kasih","@swunoei hi kak, sudah dibuka kak, silakan daftarkan diri melalui tautan https://go.maribelajar.org/msib. terima kasih",hi kak sudah dibuka kak silakan daftarkan diri melalui tautan terima kasih,"['hi', 'kak', 'sudah', 'dibuka', 'kak', 'silakan', 'daftarkan', 'diri', 'melalui', 'tautan', 'terima', 'kasih']","['hi', 'kakak', 'sudah', 'dibuka', 'kakak', 'silakan', 'daftarkan', 'diri', 'melalui', 'tautan', 'terima', 'kasih']","['hi', 'kakak', 'dibuka', 'kakak', 'silakan', 'daftarkan', 'tautan', 'terima', 'kasih']"
166,"@nahrul.k Hi kak, tidak masalah kak, boleh salah satu saja. terima kasih","@nahrul.k hi kak, tidak masalah kak, boleh salah satu saja. terima kasih",hi kak tidak masalah kak boleh salah satu saja terima kasih,"['hi', 'kak', 'tidak', 'masalah', 'kak', 'boleh', 'salah', 'satu', 'saja', 'terima', 'kasih']","['hi', 'kakak', 'tidak', 'masalah', 'kakak', 'boleh', 'salah', 'satu', 'saja', 'terima', 'kasih']","['hi', 'kakak', 'kakak', 'salah', 'terima', 'kasih']"
167,"@maribelajar_id astagfirullah 😢, batesnya 8 Januari loh min, dibalas nya 16 Januari 😢","@maribelajar_id astagfirullah 😢, batesnya 8 januari loh min, dibalas nya 16 januari 😢",astagfirullah batesnya januari loh min dibalas nya januari,"['astagfirullah', 'batesnya', 'januari', 'loh', 'min', 'dibalas', 'nya', 'januari']","['astagfirullah', 'batesnya', 'januari', 'loh', 'min', 'dibalas', 'nya', 'januari']","['astagfirullah', 'batesnya', 'januari', 'min', 'dibalas', 'januari']"
168,"Min, perbaiki dulu web nya... Loker kmren masih tercantoll gimana mau tambahi ijazah S1 nya....","min, perbaiki dulu web nya... loker kmren masih tercantoll gimana mau tambahi ijazah s1 nya....",min perbaiki dulu web nya loker kmren masih tercantoll gimana mau tambahi ijazah  nya,"['min', 'perbaiki', 'dulu', 'web', 'nya', 'loker', 'kmren', 'masih', 'tercantoll', 'gimana', 'mau', 'tambahi', 'ijazah', 'nya']","['min', 'perbaiki', 'dulu', 'web', 'nya', 'lowongan', 'kmren', 'masih', 'tercantoll', 'bagaimana', 'mau', 'tambahi', 'ijazah', 'nya']","['min', 'perbaiki', 'web', 'lowongan', 'kmren', 'tercantoll', 'tambahi', 'ijazah']"
169,@vzrenggamani,@vzrenggamani,,[],[],[]
170,@anonimusi_id @maribelajar_id,@anonimusi_id @maribelajar_id,,[],[],[]
171,Hi @anonimusi_id  dan @nandariziq saat ini kamu dapat mencoba kembali untuk unggah berkas yang di maksud. Apabila masih belum bisa mohon dm kami untuk  nama lengkap Anda. Terimakasih 😉,hi @anonimusi_id  dan @nandariziq saat ini kamu dapat mencoba kembali untuk unggah berkas yang di maksud. apabila masih belum bisa mohon dm kami untuk  nama lengkap anda. terimakasih 😉,hi dan saat ini kamu dapat mencoba kembali untuk unggah berkas yang di maksud apabila masih belum bisa mohon dm kami untuk nama lengkap anda terimakasih,"['hi', 'dan', 'saat', 'ini', 'kamu', 'dapat', 'mencoba', 'kembali', 'untuk', 'unggah', 'berkas', 'yang', 'di', 'maksud', 'apabila', 'masih', 'belum', 'bisa', 'mohon', 'dm', 'kami', 'untuk', 'nama', 'lengkap', 'anda', 'terimakasih']","['hi', 'dan', 'saat', 'ini', 'kamu', 'dapat', 'mencoba', 'kembali', 'untuk', 'unggah', 'berkas', 'yang', 'di', 'maksud', 'apabila', 'masih', 'belum', 'bisa', 'mohon', 'pesan', 'kami', 'untuk', 'nama', 'lengkap', 'anda', 'terimakasih']","['hi', 'mencoba', 'unggah', 'berkas', 'maksud', 'mohon', 'pesan', 'nama', 'lengkap', 'terimakasih']"
172,@fendi.irfan,@fendi.irfan,,[],[],[]
173,"Min. Yang lowongan kmren kog belum di proses ya... Kalau nggak di terima, tolong di tolak aja, soalnya mau ngedit di bagian ijazah","min. yang lowongan kmren kog belum di proses ya... kalau nggak di terima, tolong di tolak aja, soalnya mau ngedit di bagian ijazah",min yang lowongan kmren kog belum di proses ya kalau nggak di terima tolong di tolak aja soalnya mau ngedit di bagian ijazah,"['min', 'yang', 'lowongan', 'kmren', 'kog', 'belum', 'di', 'proses', 'ya', 'kalau', 'nggak', 'di', 'terima', 'tolong', 'di', 'tolak', 'aja', 'soalnya', 'mau', 'ngedit', 'di', 'bagian', 'ijazah']","['min', 'yang', 'lowongan', 'kmren', 'kok', 'belum', 'di', 'proses', 'ya', 'kalau', 'tidak', 'di', 'terima', 'tolong', 'di', 'tolak', 'aja', 'soalnya', 'mau', 'ngedit', 'di', 'bagian', 'ijazah']","['min', 'lowongan', 'kmren', 'proses', 'terima', 'tolong', 'tolak', 'ngedit', 'ijazah']"
174,Min mau tanya email mari belajar kok ke logout login lagi ngak bisa kenapa ya min?mohon informasinya,min mau tanya email mari belajar kok ke logout login lagi ngak bisa kenapa ya min?mohon informasinya,min mau tanya email mari belajar kok ke logout login lagi ngak bisa kenapa ya minmohon informasinya,"['min', 'mau', 'tanya', 'email', 'mari', 'belajar', 'kok', 'ke', 'logout', 'login', 'lagi', 'ngak', 'bisa', 'kenapa', 'ya', 'minmohon', 'informasinya']","['min', 'mau', 'tanya', 'email', 'mari', 'belajar', 'kok', 'ke', 'logout', 'login', 'lagi', 'ngak', 'bisa', 'kenapa', 'ya', 'minmohon', 'informasinya']","['min', 'email', 'mari', 'belajar', 'logout', 'login', 'ngak', 'minmohon', 'informasinya']"
